"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2083567039.10615","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","96540196393.7238","93873463970.3174","90626068341.5384","96988733717.889","103308723104.91","93826437158.4122","92804795723.9421","97243375365.9368","98185542893.188","99464402772.429","99466457927.508","100762405667.102","103541046637.078","102598732561.836","98135097739.2964","96029278848.3261","101755153019.579","109578438208.481","113531754333.599","122504451706.513","132818746909.235","137307193939.778","150555568838.726","192719783855.774","193115631138.92","204232738560.143","219372169250.054","242410406392.562","258332662277.333","277728429736.524","304662234816.771","339659750151.557","366137437803.768","352252062100.683","377001752714.097","230275780179.606","194723167996.656","206244641066.949","220056882460.845","217470053848.383","213004291506.589","215370982140.851","219556020507.591","214535561054.243","193317745979.711","211906854008.927","236060353426.309","244266891962.854","247454631088.382","",
"Afghanistan","AFG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13772095875.657","13593058629.2735","15372390003.8454","18897279031.7271","21597700205.361","25174319776.5563","27847788106.2116","27109677221.3791","26464756390.0583","25108675453.1906","26414292556.8312","26104214973.9842","26288153711.3069","26813916785.5331","21881356121.0392","21006101876.1976","17351976230.7992","14527830535.9056","13365604093.0331","13098292011.1725","13671041132.293","10081546694.9089","10233525624.532","",
"Albania","ALB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295304643.403764","341321532.260027","278946713.997263","373324097.426732","646212050.555773","897467686.771525","1036181740.55164","1072990715.39903","1199316606.90281","1420996686.30807","1765827911.87516","2064737149.02342","2459353868.77314","2345594806.30354","2456108288.51646","2927523376.72838","3122909071.83878","3132077566.72481","3181846159.51174","3176448581.08694","3104897798.78826","3340024538.67096","3773046407.80426","3941561635.99422","4039315332.48449","2919393222.72408","4440320287.86221","5197061339.25624","5641623298.36076","5647813716.48705","",
"Andorra","AND","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","605620945160.668","606995635843.863","697967689172.846","777260695298.15","843144730656.379","899727600811.505","950097116804.99","1018493597757.17","954074591817.55","1044907429460.27","928807364796.192","1008128156739.45","1024467659717.98","1021147149331.32","1040266407461.85","1070647077006.48","1118154345426.88","1176468953786.21","1169332748278.83","1075464126765.04","1119132735278.29","1271703278158.59","1332297223672.02","","",
"United Arab Emirates","ARE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95458587999.4621","98465923696.2318","121024659935.55","150729417904.162","168036554592.765","187413260842.114","203965722608.142","229329318290.333","219469864823.175","233208262073.098","270676024381.848","313077885792.662","335184283851.995","349017260579.578","358529611980.939","377223222838.345","376019440269.446","382343002835.075","385217109725.96","400043503212.021","416370930595.486","451594133243.544","482662714742.742","","",
"Argentina","ARG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","5232423634.42914","4675767446.08636","6791012783.09319","6791012783.09319","6234376464.1382","6791012783.09319","7904292800.74654","7904292800.74654","7347660171.89877","8906251165.38089","9013135452.44428","8118045999.66209","8282808731.53228","9440628603.95403","9462883794.69975","8583388373.73457","11288671241.9483","14372484706.686","15652680713.1575","15151716645.7701","14372484706.686","15120415374.0935","15717150490.8118","16123062538.4867","15705233732.1126","18148029532.2584","16284164980.3063","15717150490.8118","18659332788.746","20045781619.3356","23656348273.5258","22799008061.799","22564247943.5963","23463026769.6373","27051830214.4022","33146105665.3658","35680720379.3792","40025718989.1159","44277808443.6758","43719784992.0728","44901264661.8391","46132004177.4208","47558846392.9744","50410174346.9503","54500535536.2542","61523927130.2795","64945397756.2739","70247833528.5135","70767579313.6332","64152858356.3363","73068125669.1088","76099586869.35","72973178922.7426","70404347638.8073","65490710336.0292","63671789068.8987","67057443560.298","68811257871.9443","69255776018.3655","76008924331.3521","62754707866.8981","68059391434.0607","71160809397.8913","64415001350.2887","77171821698.9856","",
