"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079109510.00342","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","79127110984.0625","75224205729.8939","80423350685.7235","69488579328.1906","65069768827.8989","67748051438.3683","78826012255.4125","78703794683.7766","76438760083.4559","77493102512.2902","78425206463.3655","84050384802.018","96772465852.3561","100097513963.426","111774393731.388","129969432407.111","140246946310.803","141383903381.749","154738598702.181","156826873139.042","164528254499.306","184863644740.562","218948024913.94","241416684674.961","259458471711.23","281085415600.194","306564219048.643","286850040406.648","305199474490.516","250322158798.845","259959643824.101","273958880947.554","282703421597.249","279424769127.365","267512561722.797","273078026325.339","281050297661.419","269108691372.655","242089255687.096","275528580467.536","318147512268.111","316443551492.101","323745234087.687","",
"Afghanistan","AFG","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22657736601.0857","24853271277.7309","26625309519.8331","29807034007.4532","31699780666.9264","34108963997.6128","40306562755.979","40115334469.9254","35406500999.3772","39283527666.3871","39248385363.6311","40966934634.9223","38853662577.4501","29563627046.5921","22249910593.6173","24749265366.9193","22569983685.1998","12350238202.4721","12955399874.3932","15550536725.2286","19031954107.1208","15774828691.7161","16201477058.7193","",
"Albania","ALB","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830533152.375802","1216077435.86233","1110393195.14685","1267508000.20713","1463018428.54504","2187803635.31984","2520828065.34164","2768282128.02802","2910228800.86057","3149339549.37364","3659381596.41029","3977971969.27237","4841904217.86894","5084277944.5055","5113718862.67738","5084419813.76621","5378873898.02423","5006081935.67435","4973861337.17449","5210325694.58208","5070977325.18894","5373879398.36442","5729637736.71021","5828489011.42693","5976303519.24633","4793597030.87982","6349541393.09436","7080833265.31584","7093779884.67038","7518414649.28561","",
"Andorra","AND","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","382470898644.071","405652648414.809","452351981420.575","545867421374.571","626919362403.362","708380961076.766","862635907163.462","1008206063976.2","915002043357.796","912707820281.112","895837690446.074","992219771489.707","1039571911940.61","1081767301014.94","1043462245987.72","984157260572.407","1058275446706.88","1096566743693.5","1134573132086.1","996957249353.905","1075891214739.93","1267728739853.16","1371097323410.48","","",
"United Arab Emirates","ARE","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73526222836.748","83039290518.6799","96316209444.7606","124958664921.397","143620797941.954","169753021654.238","228250774842.328","277092127493.136","233715307808.612","186076368602.313","221444899893.435","240409998334.524","259705697181.306","284757772463.541","268999319264.806","272520520340.757","281766391698.242","284570991813.806","300749540297.124","316225863671.098","341702370841.826","430178789062.039","484313770920.912","","",
"Argentina","ARG","Imports of goods and services (constant 2015 US$)","NE.IMP.GNFS.KD","5781578754.4446","6832490129.76623","6832490129.76623","5255319314.29503","6307034461.97843","6307034461.97843","5781586316.12609","5781586316.12609","6307034461.97843","7883389281.19749","6397858479.29665","7160082049.9684","6811402885.49516","6722205023.57978","7087106326.3448","7216836222.7465","5700500111.0016","7816908932.2723","7411452871.02539","11457697349.2972","16769053807.7234","15387464166.8883","8835486125.91315","8223741299.83684","8610677487.52832","7488023414.45082","8825941665.41822","9839615866.37266","8933579592.45823","7458048127.629","7316351404.64923","13173507666.735","21826389355.7422","25058137515.0363","30353180910.1739","27376556729.9706","32175418245.8577","40821452847.1832","44256140758.4191","39269903517.757","39208026466.9415","33739846877.6181","16849830033.987","23179531291.8337","32479571849.7427","37627009711.9028","41762919036.896","49965275067.2182","56741659099.4596","46291865845.2115","62588647492.181","76376060673.9702","72764799491.1857","75590170049.3954","66912422371.9764","70064879911.7042","74145572745.4628","85700267253.0233","81876889517.2886","66568179534.9415","55111349044.4887","65339273223.5885","76797049470.735","78249040052.2417","70276817170.3302","",
