"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","357352107","398466301","751980390","974447561","1650460272","2735434204","3118593133","3478371183","3860103233","3893487886","4099957979","3717293733","","","","","","","","",
"Africa Western and Central","AFW","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1214.98","909","4778","46810448","46157856","","24550119","63665814310","48194975480","93398411240","16077500220","75610980220","89775916950","106582000000","120720000000","86856306430","150735662500","158703989200","165815694600","","","","","","","","",
"Albania","ALB","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7238000000","9956505000","9459141000","12186045000","","","","24919806170","28273244000","32210857110","","","","","","","53598580000","55030350000","57792160000","68655240000","69235390000","76624030000","85140950000","90998770000","96436660000","95679970000","108411880000","120706730000","141920320000","","",
"Andorra","AND","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263722683.1","274627291.7","274169042.6","275700819.1","308721180.9","350501964.3","","",
"Arab World","ARB","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103000000","122000000","92000000","","","","","","","","","","","","4303497511","4444523251","5079093892","5271407640","4271263057","4704837912","4592684238","4807606911","4553573952","12873297740","13486626190","5165247873","5760107550","6865079534","",
"Argentina","ARG","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3121100000","8969600000","13169400000","13321200000","14084900000","12597500000","10629600000","10900700000","10635700000","9654900000","9437600000","8455400000","8661400000","10501412920","13480994570","16959000000","24028100000","42583100000","52485400000","75710400000","100217200000","133641900000","174543900000","229383700000","299102900000","410854400000","568225300000","724320900000","897830878300","1213025466000","1519742865000","2367433532000","4265211244000","9669735466000","","",
"Armenia","ARM","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50828161800","63881180300","80214400000","88471032730","105001406400","102903090600","105335919300","123449550500","129059000000","17631669820","17005850750","8698554400","","","","","","","","","","",
"American Samoa","ASM","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","585000000","561000000","595000000","616000000","727000000","777000000","654000000","1055000000","905000000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","3087141995","3598032020","4215751110","4848004767","5392324295","6171377078","7310887117","7894449976","8741815222","9624063429","10164022590","10741771620","11719947970","12642166230","13290407910","13809291950","14650843370","15607944590","16691496550","17985799730","19861485580","21246629800","23058363550","26786910000","27814000000","28599100000","29539960000","30586070000","31410440000","32327390000","32817700000","33607310000","34964460000","35876270000","37413830000","38998740000","40711010000","41192460000","42000930000","43905400000","45485930000","47297780000","48843710000","50460450000","52314620000","54391300000","57145300000","59554810000","59524180000","62805010000","66412680000","71328680000","","",
"Azerbaijan","AZE","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89381000","109764400","144788000","146600600","","","","","","","","","955300000","967900000","1109900000","1226800000","1422500000","1584200000","1743800000","1805200000","1921000000","2085700000","2327100000","2989800000","3675600000","3847228000","6508995000","7248432000","","",
"Burundi","BDI","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31148500000","31868100000","32970800000","34311800000","35528800000","36475900000","38023200000","39880000000","40589900000","41808300000","42962400000","44941800000","47749800000","50460700000","51531000000","52610000000","55181500000","57429900000","58841100000","59627200000","61063300000","60235800000","62004500000","63468200000","65620800000","64808500000","68198900000","74314300000","","","",
"Benin","BEN","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","1950000000","1947000000","2128000000","2529000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4846000","11745000","21269000","29680000","45413000","86640000","148363000","1458881000","2130130000","2474156000","2967718000","2975549000","3175428000","3692196000","4079504000","4420282000","4296832000","4890278000","5392646000","5273073000","4969795000","5417004000","5596034000","6116026000","6575341000","6965723000","7369543000","8456563000","9514141000","10613563000","11001229000","12314707000","13881716000","15753875000","","",
"Bahrain","BHR","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2099805772","2535973072","2908609517","3568510900","3638386383","3812947312","4036390620","4046648071","4116680138","4234847913","4329617912","4473559004","4734232635","5041780624","5345659236","5383933149","5797979633","6482487353","7410917193","8172294708","",
"Belarus","BLR","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920","10010","144080","1136530","1817340","3553610","7001260","29785850","92875000","186339000","284562000","388281600","537421600","734546000","928774100","1125668643","1449652800","1579940700","1924944533","2880190000","5543570000","7629800000","9090916100","9715235683","10090785550","11004154130","12911601730","14564981000","16090949140","17958883210","20087015840","23426696460","","",
"Belize","BLZ","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184000","391000","281000","318000","462000","306000","363000","380000","366000","445000","","9043000","9984000","","","","","","","","","770012.529","775800.639","782138.765","762475.975","597386.548","","","","","","","","","",
"Bermuda","BMU","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Social contributions (current LCU)","GC.REV.SOCL.CN","","","","","","","","","","","","","","","","","","","","","","","","","","22400000","139800000","108500000","29500000","133700000","185800000","245600000","285000000","286300000","320400000","383100000","869200000","1010700000","768500000","951200000","872900000","964680000","1084640813","1430854602","1338700000","1523178962","1684872431","1879986162","","","","","","","","","","","","","","","","","","",
