"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5952943919","6702036585","8070694888","13497091990","18435006020","20918998550","21452208400","19386490830","17309900940","17608166000","44737123120","53188616510","","","","","","","","",
"Africa Western and Central","AFW","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","326358387","1495978615","17300349780","12670999810","30463029880","41894421450","51456380170","68937892660","92906282320","137367000000","149494000000","162085000000","170041000000","165995000000","202397000000","228895697500","176561786800","209778948600","246820082700","723396488200","591666630100","1790469129000","1541336292000","1788670226000","1864925821000","1790469129000","",
"Albania","ALB","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18850000000","15948958000","18926363000","35385497000","","","","64835600000","76255180000","89353960000","","","","","","","175055100000","173505580000","166375460000","195997780000","200012910000","208378160000","218755890000","226077000000","220257210000","208303130000","251058420000","282781530000","294574330000","","",
"Andorra","AND","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191794777.1","196309128.2","158827948.8","177144788.4","218341185.1","229441153.7","","",
"Arab World","ARB","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872000000","2990000000","3481000000","","","","","","","","","","","","4133984907","4999707822","5173170943","5108759559","630843985.2","443995150.4","888141857","891655037.2","14879825760","8739906409","8148653349","10672737950","11828492780","13124045080","",
"Argentina","ARG","Taxes on goods and services (current LCU)","GC.TAX.GSRV.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1572200000","5557700000","8344800000","12098700000","12779200000","13203700000","13931400000","16227200000","17185200000","16728900000","17674300000","16224000000","16481800000","22164550550","30264211940","36184400000","44376700000","54722400000","69210800000","76968800000","101267600000","130577600000","165330200000","210696000000","282293400000","369418100000","478910200000","624789300000","842173604400","1164966358000","1460510727000","2529933483000","4328838025000","10267587100000","","",
