"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4361376970","5644579909","8615069861","15840312930","18245323990","21516806130","25610320670","27653398810","33099262220","39794987700","25170226470","28026389590","","","","","","","","",
"Africa Western and Central","AFW","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218511047","23521887570","35587683340","77439702090","167772000000","272013000000","440617000000","838209000000","880727000000","1381600000000","679586000000","920379000000","1292900000000","1413540000000","1401100000000","1356426466000","1054233866000","1103411897000","1306581620000","1886193669000","2908573276000","5528831451000","3811879660000","6177770727000","4664092055000","5528831451000","",
"Albania","ALB","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4014000000","4808340000","3592253000","6399875000","","","","20894170000","22504710000","27220340000","","","","","","","46423500000","44484930000","44012200000","48711520000","54624180000","42779830000","63746660000","70977490000","79835840000","61674930000","74656850000","91174970000","116954370000","","",
"Andorra","AND","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84325462.5","88030739.42","87658083.01","117089587.1","150707120","169921999.6","","",
"Arab World","ARB","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Taxes on income, profits and capital gains (current LCU)","GC.TAX.YPKG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171200000","451900000","840900000","2899200000","4065600000","3730600000","4689800000","5426900000","6519700000","6434500000","6866200000","6655200000","5740400000","10374253530","15381533680","19271300000","23073800000","22960000000","28584400000","29674400000","40930900000","57335400000","73374200000","97290900000","141679100000","199986500000","217639400000","267036900000","272779832000","340512746700","448818462000","767410987000","1593068367000","2919623475000","","",
