"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11562980030","13152484200","14329746470","21796927400","27711173240","30556856030","29054793910","28315648420","25839338800","30323445010","40463039650","45916137930","","","","","","","","",
"Africa Western and Central","AFW","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143859498","756139815","2657536912","7990988132","17553611830","25280871000","33301946110","43745351080","59304713940","107473000000","106311000000","101941000000","112287000000","111325000000","124414000000","182041910400","130459449500","89402731430","120285546400","216235803000","222463668000","487548719500","285044143400","292163508000","328535444000","487548719500","",
"Albania","ALB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6650000000","8313665000","9880622000","13807128000","","","","13401310000","13865400000","13880020000","","","","","","","10864450000","12184430000","10948090000","10233650000","10655730000","6177630000","6513780000","6251710000","6521360000","6286030000","7494730000","8487160000","9174320000","","",
"Andorra","AND","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108704393","103566205.6","73906204.66","74307362.13","111998691.4","88871724.88","","",
"Arab World","ARB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5250348","4842645","134163262.1","157796383.9","128503345.3","126328240.3","52982493.71","28001138.88","44687377","14284945.88","12442997.93","8152235.42","7451234.28","10257150.86","",
"Argentina","ARG","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1018100000","1590800000","2177200000","2720100000","2791800000","1890700000","2326200000","3014700000","2707100000","2210600000","1971700000","1586100000","6003000000","10658540030","12865224570","15377800000","18109300000","25368300000","43968900000","35754800000","55478300000","67486800000","77582600000","77423800000","110038800000","106145800000","125038900000","132378200000","194639401700","532417533400","636939673700","1325172863000","2331718747000","3849773625000","","",
"Armenia","ARM","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11389887600","15410353550","17100300000","24010067540","37289946830","25111297380","29366720800","36289379700","43040111170","46320222900","48397064060","61487459030","55430686270","72564779820","80235872610","95146709030","68267302590","84839939030","56685823610","75286300160","76166027670","",
"American Samoa","ASM","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","470000000","515000000","616000000","883000000","1048000000","1334000000","1233000000","1530000000","1648000000","1935000000","2195000000","2147000000","2441000000","3043000000","3408000000","3370000000","3776000000","3869000000","4066000000","3414000000","3433000000","3429000000","3342000000","3557000000","3129000000","3295000000","3643000000","3615000000","3799000000","4606000000","5214000000","5580000000","5631000000","5560000000","5001000000","5659000000","6081000000","6289000000","5762000000","5839000000","7117000000","8181000000","9290000000","10896000000","14057000000","14208000000","15690000000","15944000000","19507000000","18123000000","16945000000","","","",
"Austria","AUT","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","550133354.7","560307551.4","575568846.6","482547618.9","451298300.2","421502438.2","328481210.4","343015777.3","389526391.1","394613489.5","387346206.1","420048981.5","460745768.6","476733792.1","502896012.4","552313539.7","632253657.3","667863346","677310814.4","736175810.1","769605313.8","746350006.9","741262908.5","57750000","-73650000","360000","20070000","27050000","16930000","16550000","21450000","21240000","4840000","1690000","190000","-7600000","-20620000","80000","100000","80000","70000","","","","","","","","","","","","","",
"Azerbaijan","AZE","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48780800","128452800","82480000","39333600","56000000","56600000","","","","","","","","","437600000","407000000","289800000","429200000","581100000","668800000","679200000","571100000","714300000","895900000","1060620000","1343000000","1160500000","1360000000","1642942000","1800867000","","",
"Burundi","BDI","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9092000000","9635000000","8639000000","11336000000","12647000000","7988000000","7229000000","16854850000","12541700000","","","","","","","","","","","39663218370","68652074560","53649927260","50712468560","60722948460","153719332100","152315253900","149418479600","","83012141210","102108386800","140931410400","","","","",
"Belgium","BEL","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","6979000000","7091000000","7518000000","9531000000","12692000000","14434000000","15228000000","18275000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44292853880","44832116860","63395622190","62639537330","77640563160","84572635550","81820979910","89729070290","96759726260","111977000000","148609000000","168626000000","143737936600","142898410000","159100000000","196259315800","196983463300","192311519500","181940644100","237343196700","286881178800","292010716900","","",
"Bangladesh","BGD","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83278880000","89394550000","84609840000","113076310000","129552432000","135650236000","135517415000","165260914000","169788337000","196640607000","241310200000","283887400000","289324100000","310561000000","359773000000","439600000000","191197700000","230597300000","243967261000","237983200000","315922990400","","","","",
"Bulgaria","BGR","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389000","1516000","4383000","9108000","16157000","21426000","38155000","363578000","442985000","265371000","228868000","203126000","198401000","241394000","304442000","385197000","468019000","2498000","2523000","2697000","3221000","2805000","16424000","11288000","15005000","15280000","13733000","13975000","15761000","13308000","10704000","19114000","17588000","17382000","","",
"Bahrain","BHR","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36400000","40500000","48700000","50000000","50900000","47600000","47500000","55500000","63400000","58900000","55700000","57300000","47000000","49800000","57100000","59360000","68580000","80060000","98650000","83310000","101010000","101669695.7","114133360.8","115080000","88590000","109210000","98146653.82","126280676.8","98930688.28","91188181","85107472.69","","","","","",
"Bahamas, The","BHS","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","322200000","305300000","310300000","317500000","364900000","375800000","393600000","426562000","435318000","492568000","525800000","528300000","506700000","529000000","483636000","607153000","750067000","598200000","618800000","664826000","476921155.9","530660166.9","528577096.8","552597193.8","518068149.3","489441210.7","411597195.6","431217177.9","432027000","444916000","405671070","299079833","511667812","675425095","","",
"Bosnia and Herzegovina","BIH","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1668619892","2002262.64","5154289.89","3234359.77","726658.7","66719.01","","","","","12444.57","3945689.44","9875.62","5286521.56","6137395.73","5725551.31","17566.97","6386.88","41264.43","2739.05","",
"Belarus","BLR","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","6480","58370","214280","316950","896370","1520360","5801120","14180000","30000000","52359000","95716000","109478100","168226700","206873700","628133000","1061255110","796951700","577621506.3","1514690000","2547500000","2332750000","1941145160","3958608300","3431760464","3546645851","5501526199","4747134705","4123203802","5132307596","3926446830","6722105743","","",
"Belize","BLZ","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108747000","112891000","117607000","123270000","130739000","137281000","84517000","94939000","98829000","106359000","116341000","138413000","164957000","164507000","170674000","157935000","170902000","169076000","154259000","165411000","161544000","195980000","188768120.9","194041621.1","224484875.4","248826967","166819764.1","157807938.4","","","","","","","","",
"Bermuda","BMU","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","47800000","125600000","179700000","140800000","150900000","145300000","169100000","234600000","244500000","301500000","349800000","377900000","472000000","556700000","480700000","519700000","465080000","488221117.1","455178732.1","528300000","648448131.2","750304081.9","895627523.2","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21082992100","26653026350","31128936150","36978393840","36773041650","38969359130","31447614280","32350158860","40704096040","42932793020","45721898150","62036126000","59034275400","58513554570","77500111260","",
"Barbados","BRB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166624000","196300000","202427000","180774029.2","217104110","219993947","185523499","202300265","201038974","202975092","195013979","225369600","232164707","246233741","","","","","","","","","",
"Brunei Darussalam","BRN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","600000","1600000","3800000","4000000","4100000","","4500000","5900000","3100000","6500000","10500000","13100000","30700000","41300000","30500000","48200000","51984000","67400000","70500000","94600000","106814000","115922000","153811000","241250000","173371000","163932000","152139000","203864000","179754228","283394406","382386533.3","286730139.7","1356444000","1762433376","1752286061","1934828000","2170502931","2550299000","1576210000","","","","","",
"Botswana","BWA","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","478610000","762200000","998900000","823400000","712200000","829900000","896500000","","","","","","","","","","6610840000","7835250000","7751780000","7931730000","6208300000","8425640000","14218360000","13171790000","15692493470","15819320000","11776660000","17866555000","14790160000","13978300000","16459930000","14149010000","13847970000","13847970000","24213980570","",
"Central African Republic","CAF","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13527665590","","","","","","","","","","","","","","","27577564200","28428318220","31708961040","","","","",
"Canada","CAN","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4237000000","3742000000","4125000000","3368000000","3758000000","3037000000","2649000000","2715000000","2681000000","2289000000","2441000000","2971000000","3181000000","2981000000","2922000000","3314000000","3517000000","3794000000","3966000000","3681000000","3436000000","3839000000","4002000000","4181000000","4512000000","5169000000","5449000000","5583000000","6629000000","5481000000","4013000000","5187000000","6117000000","5911000000","5671000000","",
"Central Europe and the Baltics","CEB","Taxes on international trade (current LCU)","GC.TAX.INTT.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
